[1025/165817.637:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[1025/170500.728:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1025/170548.247:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1025/170554.518:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1025/170608.280:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1025/170612.926:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1025/170613.191:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1025/170613.219:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1025/170613.287:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1025/170613.924:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1025/170613.930:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1025/170613.974:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1025/170617.632:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1025/170617.654:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1025/170617.937:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1025/170618.225:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1025/170618.262:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1025/170618.351:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1025/170618.996:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
